route,member_casual,road_distance_km,route_frequency
"41.7805,-87.606,41.7804,-87.5914",member,1.606,213
"41.7851,-87.6011,41.7879,-87.5883",casual,1.358,144
"41.7851,-87.6011,41.7879,-87.5883",member,1.358,344
"41.7851,-87.6011,41.7879,-87.5905",casual,1.178,170
"41.7851,-87.6011,41.7879,-87.5905",member,1.178,738
"41.7851,-87.6011,41.7879,-87.5989",member,0.899,575
"41.7851,-87.6011,41.7887,-87.6013",casual,0.397,347
"41.7851,-87.6011,41.7887,-87.6013",member,0.397,1354
"41.7851,-87.6011,41.7894,-87.5965",member,0.869,404
"41.7851,-87.6011,41.79,-87.6",casual,0.527,165
"41.7851,-87.6011,41.79,-87.6",member,0.527,315
"41.7851,-87.6011,41.7915,-87.5999",casual,0.81,1341
"41.7851,-87.6011,41.7915,-87.5999",member,0.81,4010
"41.7851,-87.6011,41.7917,-87.5839",casual,2.159,100
"41.7851,-87.6011,41.7932,-87.5878",casual,2.27,130
"41.7851,-87.6011,41.7932,-87.5878",member,2.27,271
"41.7851,-87.6011,41.7943,-87.6014",casual,1.016,1808
"41.7851,-87.6011,41.7943,-87.6014",member,1.016,3731
"41.7851,-87.6011,41.7952,-87.5807",casual,2.78,219
"41.7851,-87.6011,41.7952,-87.5807",member,2.78,296
"41.7851,-87.6011,41.7953,-87.5965",casual,1.525,280
"41.7851,-87.6011,41.7953,-87.5965",member,1.525,431
"41.7851,-87.6011,41.7996,-87.5947",casual,2.148,375
"41.7851,-87.6011,41.7996,-87.5947",member,2.148,477
"41.7859,-87.6046,41.7887,-87.6013",member,0.591,222
"41.7859,-87.6046,41.7915,-87.5999",member,1.004,400
"41.7859,-87.6046,41.7943,-87.6014",member,1.21,391
"41.7879,-87.5883,41.7851,-87.6011",casual,1.346,119
"41.7879,-87.5883,41.7851,-87.6011",member,1.346,382
"41.7879,-87.5883,41.7887,-87.6013",member,1.291,404
"41.7879,-87.5883,41.7915,-87.5999",member,1.358,329
"41.7879,-87.5905,41.7851,-87.6011",casual,1.219,144
"41.7879,-87.5905,41.7851,-87.6011",member,1.219,663
"41.7879,-87.5905,41.7887,-87.6013",casual,0.997,107
"41.7879,-87.5905,41.7887,-87.6013",member,0.997,306
"41.7879,-87.5905,41.7894,-87.5965",member,0.666,435
"41.7879,-87.5905,41.7915,-87.5999",casual,1.177,310
"41.7879,-87.5905,41.7915,-87.5999",member,1.177,1048
"41.7879,-87.5905,41.7943,-87.6014",member,1.616,388
"41.7879,-87.5989,41.7851,-87.6011",member,0.482,546
"41.7879,-87.5989,41.7915,-87.5999",member,0.714,281
"41.7879,-87.5989,41.7943,-87.6014",member,0.919,309
"41.7887,-87.6013,41.7851,-87.6011",casual,0.397,187
"41.7887,-87.6013,41.7851,-87.6011",member,0.397,1256
"41.7887,-87.6013,41.7859,-87.6046",member,0.591,343
"41.7887,-87.6013,41.7879,-87.5905",member,1.282,255
"41.7887,-87.6013,41.7915,-87.5999",member,0.413,290
"41.7887,-87.6013,41.7932,-87.5878",member,1.628,468
"41.7887,-87.6013,41.7943,-87.6014",casual,0.619,127
"41.7887,-87.6013,41.7943,-87.6014",member,0.619,798
"41.7887,-87.6013,41.7953,-87.5965",member,1.121,276
"41.7887,-87.6013,41.7993,-87.601",member,1.216,205
"41.7887,-87.6013,41.7996,-87.5947",casual,1.739,157
"41.7887,-87.6013,41.7996,-87.5947",member,1.739,448
"41.7887,-87.6013,41.8024,-87.5869",member,2.759,230
"41.7894,-87.5965,41.7851,-87.6011",member,0.87,348
"41.7894,-87.5965,41.7879,-87.5905",member,0.953,552
"41.7894,-87.5965,41.7915,-87.5999",member,0.508,207
"41.7894,-87.5965,41.7932,-87.5878",casual,1.148,103
"41.7894,-87.5965,41.7932,-87.5878",member,1.148,211
"41.7894,-87.5965,41.7996,-87.5947",casual,1.276,143
"41.7894,-87.5965,41.7996,-87.5947",member,1.276,377
"41.79,-87.59,41.7915,-87.5999",member,0.966,239
"41.79,-87.6,41.7851,-87.6011",casual,0.527,165
"41.79,-87.6,41.7851,-87.6011",member,0.527,563
"41.79,-87.6,41.7879,-87.5905",member,1.413,318
"41.79,-87.6,41.7915,-87.5999",casual,0.27,103
"41.79,-87.6,41.7915,-87.5999",member,0.27,380
"41.79,-87.6,41.7932,-87.5878",member,1.485,231
"41.79,-87.6,41.7943,-87.6014",casual,0.476,112
"41.79,-87.6,41.7943,-87.6014",member,0.476,312
"41.79,-87.6,41.7953,-87.5965",member,0.978,293
"41.79,-87.6,41.7996,-87.5947",casual,1.596,168
"41.79,-87.6,41.7996,-87.5947",member,1.596,455
"41.79,-87.6,41.8,-87.59",casual,2.269,329
"41.79,-87.6,41.8,-87.59",member,2.269,646
"41.7915,-87.5999,41.7851,-87.6011",casual,0.81,1109
"41.7915,-87.5999,41.7851,-87.6011",member,0.81,3933
"41.7915,-87.5999,41.7859,-87.6046",casual,1.004,127
"41.7915,-87.5999,41.7859,-87.6046",member,1.004,406
"41.7915,-87.5999,41.7879,-87.5905",casual,1.177,262
"41.7915,-87.5999,41.7879,-87.5905",member,1.177,935
"41.7915,-87.5999,41.7879,-87.5989",member,0.899,266
"41.7915,-87.5999,41.7887,-87.6013",member,0.413,249
"41.7915,-87.5999,41.7917,-87.5839",casual,1.323,110
"41.7915,-87.5999,41.7932,-87.5878",casual,1.212,531
"41.7915,-87.5999,41.7932,-87.5878",member,1.212,1797
"41.7915,-87.5999,41.7943,-87.6014",casual,0.438,127
"41.7915,-87.5999,41.7943,-87.6014",member,0.438,1116
"41.7915,-87.5999,41.7952,-87.5807",casual,2.03,289
"41.7915,-87.5999,41.7952,-87.5807",member,2.03,428
"41.7915,-87.5999,41.7953,-87.5965",casual,0.717,227
"41.7915,-87.5999,41.7953,-87.5965",member,0.717,897
"41.7915,-87.5999,41.7993,-87.601",casual,1.035,172
"41.7915,-87.5999,41.7993,-87.601",member,1.035,765
"41.7915,-87.5999,41.7995,-87.5864",casual,2.03,212
"41.7915,-87.5999,41.7995,-87.5864",member,2.03,393
"41.7915,-87.5999,41.7996,-87.5947",casual,1.34,697
"41.7915,-87.5999,41.7996,-87.5947",member,1.34,1922
"41.7915,-87.5999,41.8024,-87.5869",casual,2.356,158
"41.7915,-87.5999,41.8024,-87.5869",member,2.356,860
"41.7915,-87.5999,41.8026,-87.5904",casual,2.035,101
"41.7915,-87.5999,41.8026,-87.5904",member,2.035,334
"41.7917,-87.5839,41.7851,-87.6011",casual,2.103,144
"41.7917,-87.5839,41.7952,-87.5807",casual,0.836,105
"41.7917,-87.5839,41.881,-87.6167",casual,11.409,171
